GPSTime,TimeStamp,GPSAltitude
1368876158,2023-05-23T11:22:38,13.9
1368876221,2023-05-23T11:23:41,9.9
1368876253,2023-05-23T11:24:13,10.8
1368876362,2023-05-23T11:26:02,4.2
1368876423,2023-05-23T11:27:03,3.3
1368876456,2023-05-23T11:27:36,3.4
1368876554,2023-05-23T11:29:14,6.1
1368876582,2023-05-23T11:29:42,16.6
1368876637,2023-05-23T11:30:37,10.1
1368876702,2023-05-23T11:31:42,9.5
1368876788,2023-05-23T11:33:08,6.8
1368876837,2023-05-23T11:33:57,6.4
1368876856,2023-05-23T11:34:16,7.4
1368876921,2023-05-23T11:35:21,12.8
1368876994,2023-05-23T11:36:34,14.7
1368877064,2023-05-23T11:37:44,14.5
1368962003,2023-05-24T11:13:23,18.5
1368962091,2023-05-24T11:14:51,15.0
1368962264,2023-05-24T11:17:44,13.2
1368962310,2023-05-24T11:18:30,18.1
1368962785,2023-05-24T11:26:25,7.4
1368963085,2023-05-24T11:31:25,10.3
1368963134,2023-05-24T11:32:14,7.7
1368963380,2023-05-24T11:36:20,22.5
1368963486,2023-05-24T11:38:06,25.7
1368963510,2023-05-24T11:38:30,12.7
1368963515,2023-05-24T11:38:35,13.3
1368963530,2023-05-24T11:38:50,17.9
1368963623,2023-05-24T11:40:23,17.8
1368963665,2023-05-24T11:41:05,33.5
1368966749,2023-05-24T12:32:29,11.9
1368966819,2023-05-24T12:33:39,9.5
1368966882,2023-05-24T12:34:42,13.0
1368976224,2023-05-24T15:10:24,16.7
1368976513,2023-05-24T15:15:13,16.7
1368979812,2023-05-24T16:10:12,5.9
1368979843,2023-05-24T16:10:43,-1.9
1368980121,2023-05-24T16:15:21,17.8
1368980187,2023-05-24T16:16:27,16.4
1368985561,2023-05-24T17:46:01,19.8
1368985582,2023-05-24T17:46:22,14.0
1368985600,2023-05-24T17:46:40,14.6
1368985628,2023-05-24T17:47:08,13.2
1368985664,2023-05-24T17:47:44,11.3
1368985699,2023-05-24T17:48:19,13.8
1368985780,2023-05-24T17:49:40,12.9
1368985879,2023-05-24T17:51:19,18.7
1368985914,2023-05-24T17:51:54,5.3
1368986015,2023-05-24T17:53:35,5.7
1368986142,2023-05-24T17:55:42,5.1
1368986215,2023-05-24T17:56:55,12.2
1368986360,2023-05-24T17:59:20,12.1
1368986406,2023-05-24T18:00:06,9.8
1368986445,2023-05-24T18:00:45,7.4
1368986640,2023-05-24T18:04:00,14.3
1368986668,2023-05-24T18:04:28,16.8
1368986760,2023-05-24T18:06:00,13.4
1368986885,2023-05-24T18:08:05,8.0
1368986908,2023-05-24T18:08:28,0.6
1368986939,2023-05-24T18:08:59,-2.7
1368986978,2023-05-24T18:09:38,-1.6
1368987002,2023-05-24T18:10:02,18.0
1368987039,2023-05-24T18:10:39,9.7
1368987082,2023-05-24T18:11:22,9.1
1368987146,2023-05-24T18:12:26,9.5
1368987251,2023-05-24T18:14:11,10.5
1368987256,2023-05-24T18:14:16,10.9
1368987408,2023-05-24T18:16:48,13.3
1368987457,2023-05-24T18:17:37,13.5
1368987517,2023-05-24T18:18:37,16.2
1368987546,2023-05-24T18:19:06,16.5
1369000932,2023-05-24T22:02:12,37.6
1369000937,2023-05-24T22:02:17,37.6
1369000944,2023-05-24T22:02:24,16.0
1369000955,2023-05-24T22:02:35,15.9
1369000974,2023-05-24T22:02:54,19.0
1369001004,2023-05-24T22:03:24,19.4
1369001025,2023-05-24T22:03:45,19.6
1369001075,2023-05-24T22:04:35,24.2
1369001320,2023-05-24T22:08:40,12.9
1369001347,2023-05-24T22:09:07,12.0
1369001362,2023-05-24T22:09:22,11.4
1369001396,2023-05-24T22:09:56,15.6
1369001427,2023-05-24T22:10:27,-2.5
1369001448,2023-05-24T22:10:48,7.2
1369001559,2023-05-24T22:12:39,11.1
1369001606,2023-05-24T22:13:26,8.7
1369001772,2023-05-24T22:16:12,20.0
1369036479,2023-05-25T7:54:39,12.0
1369036537,2023-05-25T7:55:37,12.4
1369036553,2023-05-25T7:55:53,13.1
1369036581,2023-05-25T7:56:21,10.0
1369036622,2023-05-25T7:57:02,7.5
1369036647,2023-05-25T7:57:27,12.4
1369036684,2023-05-25T7:58:04,12.4
1369036701,2023-05-25T7:58:21,4.9
1369036726,2023-05-25T7:58:46,2.7
1369036758,2023-05-25T7:59:18,-9.0
1369036855,2023-05-25T8:00:55,13.1
1369036875,2023-05-25T8:01:15,12.3
1369036912,2023-05-25T8:01:52,5.7
1369036990,2023-05-25T8:03:10,2.6
1369037029,2023-05-25T8:03:49,5.5
1369037078,2023-05-25T8:04:38,7.0
1369037100,2023-05-25T8:05:00,-0.2
1369037150,2023-05-25T8:05:50,2.6
1369037181,2023-05-25T8:06:21,3.3
1369037243,2023-05-25T8:07:23,14.6
1369037290,2023-05-25T8:08:10,1.7
1369037381,2023-05-25T8:09:41,4.7
1369037392,2023-05-25T8:09:52,11.9
1369037413,2023-05-25T8:10:13,9.5
1369037430,2023-05-25T8:10:30,9.6
1369037480,2023-05-25T8:11:20,4.0
1369037507,2023-05-25T8:11:47,-2.5
1369037548,2023-05-25T8:12:28,11.7
1369037589,2023-05-25T8:13:09,7.6
1369037598,2023-05-25T8:13:18,10.1
1369037658,2023-05-25T8:14:18,13.1
1369037681,2023-05-25T8:14:41,5.8
1369037720,2023-05-25T8:15:20,20.1
1369037750,2023-05-25T8:15:50,-4.1
1369037776,2023-05-25T8:16:16,2.7
1369037804,2023-05-25T8:16:44,-8.3
1369037830,2023-05-25T8:17:10,16.9
1369037844,2023-05-25T8:17:24,17.8
1369037874,2023-05-25T8:17:54,19.5
1369037898,2023-05-25T8:18:18,10.4
1369049018,2023-05-25T11:23:38,22.9
1369049033,2023-05-25T11:23:53,9.4
1369049064,2023-05-25T11:24:24,11.5
1369049086,2023-05-25T11:24:46,14.5
1369049127,2023-05-25T11:25:27,13.6
1369049143,2023-05-25T11:25:43,12.9
1369049157,2023-05-25T11:25:57,16.8
1369049181,2023-05-25T11:26:21,11.3
1369049205,2023-05-25T11:26:45,12.5
1369049230,2023-05-25T11:27:10,7.4
1369049322,2023-05-25T11:28:42,7.5
1369049344,2023-05-25T11:29:04,14.6
1369049369,2023-05-25T11:29:29,9.6
1369049388,2023-05-25T11:29:48,11.9
1369049416,2023-05-25T11:30:16,13.4
1369049472,2023-05-25T11:31:12,12.8
1369049496,2023-05-25T11:31:36,11.4
1369049521,2023-05-25T11:32:01,10.1
1369049539,2023-05-25T11:32:19,4.6
1369049563,2023-05-25T11:32:43,7.4
1369049589,2023-05-25T11:33:09,15.3
1369049627,2023-05-25T11:33:47,-0.1
1369049644,2023-05-25T11:34:04,1.5
1369049684,2023-05-25T11:34:44,7.7
1369049711,2023-05-25T11:35:11,10.0
1369049745,2023-05-25T11:35:45,12.4
1369049750,2023-05-25T11:35:50,13.8
1369049784,2023-05-25T11:36:24,4.2
1369049864,2023-05-25T11:37:44,1.7
1369049883,2023-05-25T11:38:03,6.7
1369049923,2023-05-25T11:38:43,9.2
1369049942,2023-05-25T11:39:02,5.5
1369049987,2023-05-25T11:39:47,12.4
1369050019,2023-05-25T11:40:19,13.3
1369050060,2023-05-25T11:41:00,13.2
1369050067,2023-05-25T11:41:07,12.4
1369050144,2023-05-25T11:42:24,10.7
1369050180,2023-05-25T11:43:00,7.3
1369050259,2023-05-25T11:44:19,14.3
1369050285,2023-05-25T11:44:45,11.5
1369050312,2023-05-25T11:45:12,6.2
1369050332,2023-05-25T11:45:32,7.7
1369050373,2023-05-25T11:46:13,4.0
1369050426,2023-05-25T11:47:06,7.4
1369050455,2023-05-25T11:47:35,2.7
1369064646,2023-05-25T15:44:06,17.3
1369064665,2023-05-25T15:44:25,18.2
1369064692,2023-05-25T15:44:52,12.8
1369064729,2023-05-25T15:45:29,-1.5
1369064751,2023-05-25T15:45:51,2.3
1369064798,2023-05-25T15:46:38,0.0
1369064837,2023-05-25T15:47:17,6.0
1369064860,2023-05-25T15:47:40,4.9
1369064899,2023-05-25T15:48:19,-3.7
1369064941,2023-05-25T15:49:01,8.6
1369065015,2023-05-25T15:50:15,6.3
1369065046,2023-05-25T15:50:46,8.7
1369065067,2023-05-25T15:51:07,16.1
1369065089,2023-05-25T15:51:29,9.2
1369065103,2023-05-25T15:51:43,7.8
1369065139,2023-05-25T15:52:19,4.0
1369065169,2023-05-25T15:52:49,12.1
1369065186,2023-05-25T15:53:06,5.8
1369065210,2023-05-25T15:53:30,5.0
1369065227,2023-05-25T15:53:47,5.1
1369065268,2023-05-25T15:54:28,8.2
1369065317,2023-05-25T15:55:17,0.2
1369065339,2023-05-25T15:55:39,-1.3
1369065384,2023-05-25T15:56:24,0.9
1369065398,2023-05-25T15:56:38,-0.1
1369065478,2023-05-25T15:57:58,-0.1
1369065489,2023-05-25T15:58:09,3.5
1369065515,2023-05-25T15:58:35,5.4
1369065541,2023-05-25T15:59:01,5.5
1369065545,2023-05-25T15:59:05,5.6
1369065568,2023-05-25T15:59:28,2.5
1369065583,2023-05-25T15:59:43,2.1
1369065619,2023-05-25T16:00:19,3.9
1369065644,2023-05-25T16:00:44,7.2
1369065671,2023-05-25T16:01:11,8.9
1369065683,2023-05-25T16:01:23,8.4
1369065716,2023-05-25T16:01:56,14.1
1369065755,2023-05-25T16:02:35,11.3
1369065775,2023-05-25T16:02:55,9.1
1369065783,2023-05-25T16:03:03,8.3
1369065790,2023-05-25T16:03:10,7.8
1369065813,2023-05-25T16:03:33,8.9
1369065882,2023-05-25T16:04:42,12.9
1369065904,2023-05-25T16:05:04,13.9
1369065935,2023-05-25T16:05:35,9.8
1369065941,2023-05-25T16:05:41,9.6
1369065969,2023-05-25T16:06:09,7.3
1369065987,2023-05-25T16:06:27,8.0
1369066006,2023-05-25T16:06:46,7.6
1369066032,2023-05-25T16:07:12,11.2
1369087480,2023-05-25T22:04:40,13.1
1369087488,2023-05-25T22:04:48,9.3
1369087496,2023-05-25T22:04:56,9.8
1369087510,2023-05-25T22:05:10,8.8
1369087536,2023-05-25T22:05:36,7.1
1369087558,2023-05-25T22:05:58,8.5
1369087579,2023-05-25T22:06:19,5.3
1369087617,2023-05-25T22:06:57,6.2
1369087630,2023-05-25T22:07:10,5.1
1369087641,2023-05-25T22:07:21,7.5
1369087708,2023-05-25T22:08:28,10.2
1369087731,2023-05-25T22:08:51,8.9
1369087734,2023-05-25T22:08:54,11.3
1369087782,2023-05-25T22:09:42,12.4
1369087795,2023-05-25T22:09:55,13.0
1369087881,2023-05-25T22:11:21,12.1
1369087890,2023-05-25T22:11:30,11.4
1369087937,2023-05-25T22:12:17,6.9
1369087958,2023-05-25T22:12:38,6.9
1369087976,2023-05-25T22:12:56,12.5
1369088041,2023-05-25T22:14:01,8.7
1369088053,2023-05-25T22:14:13,4.2
1369088068,2023-05-25T22:14:28,7.4
1369088113,2023-05-25T22:15:13,5.8
1369088154,2023-05-25T22:15:54,6.0
1369088223,2023-05-25T22:17:03,9.1
1369088260,2023-05-25T22:17:40,3.6
1369088277,2023-05-25T22:17:57,5.3
1369088300,2023-05-25T22:18:20,5.3
1369088342,2023-05-25T22:19:02,12.0
1369088363,2023-05-25T22:19:23,10.5
1369088384,2023-05-25T22:19:44,13.8
1369088391,2023-05-25T22:19:51,16.2
1369088462,2023-05-25T22:21:02,11.6
1369088571,2023-05-25T22:22:51,17.5
1369088652,2023-05-25T22:24:12,11.2
1369088701,2023-05-25T22:25:01,16.7
1369124442,2023-05-26T8:20:42,19.6
1369124483,2023-05-26T8:21:23,16.7
1369124580,2023-05-26T8:23:00,15.5
1369124628,2023-05-26T8:23:48,15.3
1369124654,2023-05-26T8:24:14,9.6
1369124691,2023-05-26T8:24:51,8.5
1369124736,2023-05-26T8:25:36,14.8
1369124829,2023-05-26T8:27:09,19.0
1369124919,2023-05-26T8:28:39,19.9
1369125013,2023-05-26T8:30:13,14.6
1369125061,2023-05-26T8:31:01,18.1
1369125069,2023-05-26T8:31:09,18.7
1369125191,2023-05-26T8:33:11,15.1
1369125218,2023-05-26T8:33:38,24.5
1369125244,2023-05-26T8:34:04,25.2
1369125302,2023-05-26T8:35:02,13.4
1369125345,2023-05-26T8:35:45,13.5
1369125382,2023-05-26T8:36:22,22.4
1369125415,2023-05-26T8:36:55,8.8
1369125461,2023-05-26T8:37:41,9.0
1369125477,2023-05-26T8:37:57,19.4
1369138357,2023-05-26T12:12:37,16.9
1369138366,2023-05-26T12:12:46,15.9
1369138414,2023-05-26T12:13:34,31.1
1369138450,2023-05-26T12:14:10,22.3
1369138487,2023-05-26T12:14:47,13.3
1369138550,2023-05-26T12:15:50,17.2
1369138566,2023-05-26T12:16:06,12.5
1369138600,2023-05-26T12:16:40,15.7
1369138621,2023-05-26T12:17:01,8.3
1369138668,2023-05-26T12:17:48,10.5
1369138678,2023-05-26T12:17:58,10.8
1369138695,2023-05-26T12:18:15,8.4
1369138735,2023-05-26T12:18:55,4.5
1369138751,2023-05-26T12:19:11,11.7
1369138835,2023-05-26T12:20:35,9.4
1369138893,2023-05-26T12:21:33,8.9
1369138948,2023-05-26T12:22:28,7.5
1369138984,2023-05-26T12:23:04,10.4
1369139006,2023-05-26T12:23:26,9.5
1369139056,2023-05-26T12:24:16,9.7
1369139083,2023-05-26T12:24:43,8.5
1369139108,2023-05-26T12:25:08,12.1
1369139197,2023-05-26T12:26:37,11.1
1369139220,2023-05-26T12:27:00,9.0
1369139234,2023-05-26T12:27:14,9.2
1369139249,2023-05-26T12:27:29,9.4
1369139282,2023-05-26T12:28:02,9.2
1369139327,2023-05-26T12:28:47,6.1
1369139352,2023-05-26T12:29:12,8.5
1369139365,2023-05-26T12:29:25,8.3
1369139388,2023-05-26T12:29:48,10.2
1369139441,2023-05-26T12:30:41,9.0
1369139460,2023-05-26T12:31:00,10.1
1369151379,2023-05-26T15:49:39,21.6
1369151387,2023-05-26T15:49:47,25.9
1369151394,2023-05-26T15:49:54,24.2
1369151469,2023-05-26T15:51:09,5.7
1369151506,2023-05-26T15:51:46,5.7
1369151528,2023-05-26T15:52:08,0.6
1369151548,2023-05-26T15:52:28,2.4
1369151578,2023-05-26T15:52:58,1.3
1369151601,2023-05-26T15:53:21,7.1
1369151632,2023-05-26T15:53:52,2.2
1369151690,2023-05-26T15:54:50,6.5
1369151750,2023-05-26T15:55:50,7.5
1369151769,2023-05-26T15:56:09,6.5
1369151845,2023-05-26T15:57:25,4.4
1369151852,2023-05-26T15:57:32,5.8
1369151881,2023-05-26T15:58:01,1.8
1369151951,2023-05-26T15:59:11,0.5
1369152001,2023-05-26T16:00:01,4.6
1369152021,2023-05-26T16:00:21,4.8
1369152052,2023-05-26T16:00:52,-1.8
1369152074,2023-05-26T16:01:14,1.3
1369152114,2023-05-26T16:01:54,1.8
1369152145,2023-05-26T16:02:25,4.6
1369152166,2023-05-26T16:02:46,6.0
1369152186,2023-05-26T16:03:06,6.4
1369152207,2023-05-26T16:03:27,2.1
1369152221,2023-05-26T16:03:41,2.8
1369152282,2023-05-26T16:04:42,11.6
1369152317,2023-05-26T16:05:17,11.6
1369152332,2023-05-26T16:05:32,10.2
1369152352,2023-05-26T16:05:52,9.4
1369152378,2023-05-26T16:06:18,5.1
1369152431,2023-05-26T16:07:11,16.0
1369152496,2023-05-26T16:08:16,12.7
1369152530,2023-05-26T16:08:50,3.5
1369152562,2023-05-26T16:09:22,2.2
1369219783,2023-05-27T10:49:43,3.0
1369219821,2023-05-27T10:50:21,11.5
1369219842,2023-05-27T10:50:42,11.1
1369219865,2023-05-27T10:51:05,9.0
1369219910,2023-05-27T10:51:50,8.6
1369219937,2023-05-27T10:52:17,7.8
1369219954,2023-05-27T10:52:34,4.9
1369219991,2023-05-27T10:53:11,17.1
1369220025,2023-05-27T10:53:45,11.2
1369220133,2023-05-27T10:55:33,14.0
1369220155,2023-05-27T10:55:55,11.9
1369220200,2023-05-27T10:56:40,10.9
1369220256,2023-05-27T10:57:36,11.1
1369220299,2023-05-27T10:58:19,6.2
1369220387,2023-05-27T10:59:47,16.3
1369220416,2023-05-27T11:00:16,4.8
1369220426,2023-05-27T11:00:26,4.7
1369220460,2023-05-27T11:01:00,3.3
1369220467,2023-05-27T11:01:07,2.1
1369220539,2023-05-27T11:02:19,7.7
1369220553,2023-05-27T11:02:33,12.9
1369220615,2023-05-27T11:03:35,17.3
1369220628,2023-05-27T11:03:48,17.7
1369220632,2023-05-27T11:03:52,16.3
1369220637,2023-05-27T11:03:57,14.7
1369220698,2023-05-27T11:04:58,12.6
1369220757,2023-05-27T11:05:57,10.8
1369220773,2023-05-27T11:06:13,12.3
1369220801,2023-05-27T11:06:41,9.7
1369220827,2023-05-27T11:07:07,14.3
1369220840,2023-05-27T11:07:20,16.0
1369220845,2023-05-27T11:07:25,13.3
1369220851,2023-05-27T11:07:31,17.7
1369220887,2023-05-27T11:08:07,12.1
1369220915,2023-05-27T11:08:35,-0.5
1369220955,2023-05-27T11:09:15,11.6
1369220965,2023-05-27T11:09:25,12.4
1369220991,2023-05-27T11:09:51,12.1
1369220996,2023-05-27T11:09:56,10.9
1369221023,2023-05-27T11:10:23,5.4
1369221051,2023-05-27T11:10:51,9.3
1369228792,2023-05-27T13:19:52,15.2
1369228802,2023-05-27T13:20:02,11.3
1369228823,2023-05-27T13:20:23,15.4
1369228861,2023-05-27T13:21:01,11.5
1369228902,2023-05-27T13:21:42,9.8
1369228940,2023-05-27T13:22:20,16.3
1369228954,2023-05-27T13:22:34,15.2
1369228990,2023-05-27T13:23:10,17.6
1369229006,2023-05-27T13:23:26,16.1
1369229050,2023-05-27T13:24:10,8.2
1369229059,2023-05-27T13:24:19,11.4
1369229086,2023-05-27T13:24:46,16.6
1369229107,2023-05-27T13:25:07,15.0
1369229148,2023-05-27T13:25:48,10.0
1369229188,2023-05-27T13:26:28,11.4
1369229221,2023-05-27T13:27:01,10.8
1369229227,2023-05-27T13:27:07,11.5
1369229241,2023-05-27T13:27:21,12.2
1369229244,2023-05-27T13:27:24,13.9
1369229272,2023-05-27T13:27:52,14.6
1369229280,2023-05-27T13:28:00,12.1
1369229342,2023-05-27T13:29:02,18.5
1369229351,2023-05-27T13:29:11,18.2
1369229364,2023-05-27T13:29:24,15.7
1369229373,2023-05-27T13:29:33,12.9
1369229392,2023-05-27T13:29:52,7.1
1369229401,2023-05-27T13:30:01,6.4
1369229412,2023-05-27T13:30:12,7.9
1369229431,2023-05-27T13:30:31,11.4
1369229436,2023-05-27T13:30:36,11.7
1369229447,2023-05-27T13:30:47,10.2
1369229471,2023-05-27T13:31:11,9.4
1369229489,2023-05-27T13:31:29,7.5
1369229499,2023-05-27T13:31:39,5.9
1369229537,2023-05-27T13:32:17,5.4
1369229563,2023-05-27T13:32:43,6.9
1369229566,2023-05-27T13:32:46,7.7
1369229572,2023-05-27T13:32:52,9.9
1369229596,2023-05-27T13:33:16,11.0
1369229639,2023-05-27T13:33:59,6.7
1369229656,2023-05-27T13:34:16,8.7
1369229689,2023-05-27T13:34:49,10.4
1369229707,2023-05-27T13:35:07,9.3
1369229714,2023-05-27T13:35:14,6.5
1369229748,2023-05-27T13:35:48,10.0
1369229778,2023-05-27T13:36:18,6.4
1369229791,2023-05-27T13:36:31,7.8
1369229797,2023-05-27T13:36:37,10.8
1369229836,2023-05-27T13:37:16,11.8
1369229863,2023-05-27T13:37:43,13.4
1369229888,2023-05-27T13:38:08,11.4
1369229955,2023-05-27T13:39:15,13.6
1369229967,2023-05-27T13:39:27,8.6
1369229971,2023-05-27T13:39:31,8.8
1369229991,2023-05-27T13:39:51,2.1
1369230001,2023-05-27T13:40:01,3.8
1369230011,2023-05-27T13:40:11,3.8
1369230043,2023-05-27T13:40:43,9.9
1369230071,2023-05-27T13:41:11,2.0
